ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,T,T_lower,T_upper,T_t+1,T_t+1_lower,T_t+1_upper,T_t+2,T_t+2_lower,T_t+2_upper,T_t+3,T_t+3_lower,T_t+3_upper,V,V_lower,V_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,is_holiday,is_holiday_lower,is_holiday_upper,is_shortday,is_shortday_lower,is_shortday_upper,is_weekend,is_weekend_lower,is_weekend_upper,is_workday,is_workday_lower,is_workday_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,y
2019-12-07,122.7911216053112,34.965226976338556,42.066407805084665,122.7911216053112,122.7911216053112,-0.020154653851857333,-0.020154653851857333,-0.020154653851857333,-0.0030154671407533872,-0.0030154671407533872,-0.0030154671407533872,0.0100325740260214,0.0100325740260214,0.0100325740260214,0.043009344207653025,0.043009344207653025,0.043009344207653025,0.08444990151373341,0.08444990151373341,0.08444990151373341,-0.7069413012452028,-0.7069413012452028,-0.7069413012452028,0.0,0.0,0.0,0.0,0.0,0.0,-0.821263,-0.821263,-0.821263,0.0,0.0,0.0,-0.686872204876769,-0.686872204876769,-0.686872204876769,-0.0002357026791246333,-0.0002357026791246333,-0.0002357026791246333,0.020304799047558393,0.020304799047558393,0.020304799047558393,0.0,0.0,0.0,38.44931316897963,37.679617325137386
2019-12-08,122.79077343203147,34.90959751111251,41.55641154120906,122.79077343203147,122.79077343203147,-0.021910895626832683,-0.021910895626832683,-0.021910895626832683,-0.0025320113575478735,-0.0025320113575478735,-0.0025320113575478735,0.008116526056963037,0.008116526056963037,0.008116526056963037,0.04808639393641765,0.04808639393641765,0.04808639393641765,0.07947990656869104,0.07947990656869104,0.07947990656869104,-0.7100230804223088,-0.7100230804223088,-0.7100230804223088,0.0,0.0,0.0,0.0,0.0,0.0,-0.821263,-0.821263,-0.821263,0.0,0.0,0.0,-0.6892882800946002,-0.6892882800946002,-0.6892882800946002,0.0004050230178101826,0.0004050230178101826,0.0004050230178101826,0.02032977730989842,0.02032977730989842,0.02032977730989842,0.0,0.0,0.0,38.15253240158077,39.091120112133474
2019-12-09,122.79042525875174,38.91485524069363,45.68674636064131,122.79042525875174,122.79042525875174,-0.01839841207688198,-0.01839841207688198,-0.01839841207688198,-0.0020485555743423598,-0.0020485555743423598,-0.0020485555743423598,0.009074550041492218,0.009074550041492218,0.009074550041492218,0.08362574203777004,0.08362574203777004,0.08362574203777004,0.07307372653975869,0.07307372653975869,0.07307372653975869,-0.6772039490322033,-0.6772039490322033,-0.6772039490322033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.822531,-0.822531,-0.822531,-0.6563810691255554,-0.6563810691255554,-0.6563810691255554,0.0005121229484703703,0.0005121229484703703,0.0005121229484703703,0.020310756958177568,0.020310756958177568,0.020310756958177568,0.0,0.0,0.0,42.19311464903067,41.684986513039235
2019-12-10,122.790077085472,37.46139868810973,44.40675173911171,122.790077085472,122.790077085472,-0.014885928526931278,-0.014885928526931278,-0.014885928526931278,-0.002290283465945117,-0.002290283465945117,-0.002290283465945117,0.015780717933196485,0.015780717933196485,0.015780717933196485,0.06839459285147614,0.06839459285147614,0.06839459285147614,0.06773129069837609,0.06773129069837609,0.06773129069837609,-0.6878006105098277,-0.6878006105098277,-0.6878006105098277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.822531,-0.822531,-0.822531,-0.6671074331300344,-0.6671074331300344,-0.6671074331300344,0.0004427348601206408,0.0004427348601206408,0.0004427348601206408,0.020250442519672607,0.020250442519672607,0.020250442519672607,0.0,0.0,0.0,40.87590394714372,39.855825570535714
2019-12-11,122.78972891219227,33.5785559973554,40.452075342722125,122.78972891219227,122.78972891219227,-0.01664217030190663,-0.01664217030190663,-0.01664217030190663,-0.003982378707164415,-0.003982378707164415,-0.003982378707164415,0.012906645979608942,0.012906645979608942,0.012906645979608942,0.03793229447888839,0.03793229447888839,0.03793229447888839,0.07380564666594475,0.07380564666594475,0.07380564666594475,-0.718510961884629,-0.718510961884629,-0.718510961884629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.822531,-0.822531,-0.822531,-0.6990393753155122,-0.6990393753155122,-0.6990393753155122,-0.0006807048220083062,-0.0006807048220083062,-0.0006807048220083062,0.020152291391125118,0.020152291391125118,0.020152291391125118,0.0,0.0,0.0,36.9548735182523,35.733282603357615
2019-12-12,122.78938073891254,30.770034676283217,38.05007934869889,122.78938073891254,122.78938073891254,-0.02893586272673409,-0.02893586272673409,-0.02893586272673409,-0.0032571950323561443,-0.0032571950323561443,-0.0032571950323561443,0.007158502072433857,0.007158502072433857,0.007158502072433857,0.02270114529259452,0.02270114529259452,0.02270114529259452,0.08496826568205681,0.08496826568205681,0.08496826568205681,-0.739896144712005,-0.739896144712005,-0.739896144712005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.822531,-0.822531,-0.822531,-0.720604597803109,-0.720604597803109,-0.720604597803109,-0.000728891100001298,-0.000728891100001298,-0.000728891100001298,0.020020438008897357,0.020020438008897357,0.020020438008897357,0.0,0.0,0.0,34.30678841705564,33.577950114157666
2019-12-13,122.78903256563282,31.657376711128123,38.62615147558989,122.78903256554362,122.78903256563282,-0.023667137401808036,-0.023667137401808036,-0.023667137401808036,-0.001806827682739603,-0.001806827682739603,-0.001806827682739603,0.0042844301188463135,0.0042844301188463135,0.0042844301188463135,0.032855244750123774,0.032855244750123774,0.032855244750123774,0.07709653153522898,0.07709653153522898,0.07709653153522898,-0.7337687586803486,-0.7337687586803486,-0.7337687586803486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.822531,-0.822531,-0.822531,-0.7136237381728694,-0.7136237381728694,-0.7136237381728694,0.00028541777473379886,0.00028541777473379886,0.00028541777473379886,0.0198596027327455,0.0198596027327455,0.0198596027327455,0.0,0.0,0.0,35.16386413951573,33.930234105136925
2019-12-14,122.7886843923531,32.37618786581787,39.18101645938775,122.78868439185626,122.7886843923531,-0.013129686751955924,-0.013129686751955924,-0.013129686751955924,-0.0010816440079313323,-0.0010816440079313323,-0.0010816440079313323,0.0062004780879046754,0.0062004780879046754,0.0062004780879046754,0.043009344207653025,0.043009344207653025,0.043009344207653025,0.059355303033987755,0.059355303033987755,0.059355303033987755,-0.7269092054303418,-0.7269092054303418,-0.7269092054303418,0.0,0.0,0.0,0.0,0.0,0.0,-0.821263,-0.821263,-0.821263,0.0,0.0,0.0,-0.7074699202298712,-0.7074699202298712,-0.7074699202298712,-0.00023570267912486977,-0.00023570267912486977,-0.00023570267912486977,0.019674987879595478,0.019674987879595478,0.019674987879595478,0.0,0.0,0.0,35.91938364016422,34.255413815383505
2019-12-15,122.78833621907337,32.18144781106374,39.31256637478174,122.78833621826044,122.78833621907337,-0.007860961427029871,-0.007860961427029871,-0.007860961427029871,-0.0015650997911368463,-0.0015650997911368463,-0.0015650997911368463,0.008116526056963037,0.008116526056963037,0.008116526056963037,0.043009344207653025,0.043009344207653025,0.043009344207653025,0.05007990032952069,0.05007990032952069,0.05007990032952069,-0.72948329062403,-0.72948329062403,-0.72948329062403,0.0,0.0,0.0,0.0,0.0,0.0,-0.821263,-0.821263,-0.821263,0.0,0.0,0.0,-0.7096061039719519,-0.7096061039719519,-0.7096061039719519,0.000405023017809927,0.000405023017809927,0.000405023017809927,0.019472163634268073,0.019472163634268073,0.019472163634268073,0.0,0.0,0.0,35.656983341458606,34.18147543419984
2019-12-16,122.78798804579364,30.476443865925873,37.30299476658528,122.78798804473158,122.78798804580755,-0.011373444976980574,-0.011373444976980574,-0.011373444976980574,-0.0020485555743423598,-0.0020485555743423598,-0.0020485555743423598,0.008116526056963037,0.008116526056963037,0.008116526056963037,0.032855244750123774,0.032855244750123774,0.032855244750123774,0.05159594293503182,0.05159594293503182,0.05159594293503182,-0.7433852868092043,-0.7433852868092043,-0.7433852868092043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.822531,-0.822531,-0.822531,-0.7236162170821804,-0.7236162170821804,-0.7236162170821804,0.0005121229484689699,0.0005121229484689699,0.0005121229484689699,0.01925694677855493,0.01925694677855493,0.01925694677855493,0.0,0.0,0.0,33.93660863296446,33.24481562634876
